ID,Station Name,Latitude,Longitude,Number of Bikes
60,Harvard University Gund Hall at Quincy St / Kirkland St,42.376369,-71.114025,15
61,Bowdoin St at Quincy St,42.30785224,-71.06512249,15
62,MIT Stata Center at Vassar St / Main St,42.36213123,-71.09115601,35
63,Chinatown T Stop,42.352409,-71.062679,19
64,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,15
65,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927,19
66,Commonwealth Ave At Babcock St,42.35154735,-71.12126246,15
67,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,42.34011512,-71.10061884,14
68,Forest Hills,42.300923,-71.114249,40
69,Columbia Rd at Tierney Community Center,42.33023071,-71.05060093,19
70,Harrison Ave at Mullins Way,42.34521562,-71.06384031,19
71,Bartlett St at John Elliot Sq,42.3294633,-71.0901582,15
72,Deerfield St at Commonwealth Ave,42.34924377,-71.0972821,19
73,Mass Ave at Albany St,42.36135838,-71.09670274,18
74,700 Huron Ave,42.38078817,-71.15412891,19
75,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,17
76,Albany St at E. Brookline St,42.33664795,-71.0689446,15
77,Sennott Park Broadway at Norfolk Street,42.36860524,-71.09930186,19
78,Powder House Circle - Nathan Tufts Park,42.400877,-71.116772,14
79,Davis Square,42.396969,-71.123024,25
80,Ames St at Main St,42.3625,-71.08822,19
81,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,19
82,Lower Cambridgeport at Magazine St / Riverside Rd,42.3572185,-71.11387163,19
83,Washington St at Rutland St,42.3385146,-71.07404083,27
84,Kenmore Square,42.348706,-71.097009,26
85,Seaport Hotel - Congress St at Seaport Ln,42.34881026,-71.04167744,19
86,Brigham Circle - Francis St at Huntington Ave,42.33462893,-71.10407918,15
87,New Balance - 20 Guest St,42.35732922,-71.1467354,15
88,Encore,42.39329263,-71.0724476,15
89,Commonwealth Ave at Kelton St,42.34835863,-71.13997217,15
90,Ashmont T Stop,42.2856944,-71.0641389,15
91,Mass Ave at Hadley/Walden,42.39120972,-71.12260755,19
92,Roslindale Village - South St,42.287072,-71.127754,15
93,Mattapan T Stop,42.267902,-71.093641,15
94,Lesley University,42.38674802,-71.11901879,15
95,30 Dane St,42.38100143,-71.10402523,15
96,699 Mt Auburn St,42.37500235,-71.14871614,24
97,Harvard Ave at Brainerd Rd,42.34953017,-71.13022771,15
98,Gallivan Blvd at Adams St,42.28297568,-71.05466698,15
99,Dorchester Ave at Gillette Park,42.34404051,-71.05737627,15
100,Boston Convention and Exhibition Center - Summer St at West Side Dr,42.34776345,-71.04535997,22
101,Commonwealth Ave at Griggs St,42.34922469,-71.13275303,15
102,MIT at Mass Ave / Amherst St,42.3581,-71.093198,27
103,Central Square at Mass Ave / Essex St,42.36507,-71.1031,19
104,Brighton Center - Washington St at Cambridge St,42.34894857,-71.15027189,17
105,Washington St at Brock St,42.34895285,-71.16031677,15
106,Savin Hill T Stop - S Sydney St at Bay St,42.3106,-71.0539,14
107,University Park,42.36264779,-71.10006094,19
108,Bunker Hill Community College,42.37408991,-71.06905997,23
109,Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,42.303469,-71.085347,14
110,Columbia Rd at Ceylon St,42.309572,-71.0729,15
111,Troy Boston,42.343749,-71.062256,14
112,Park Plaza at Charles St S.,42.35182807,-71.06781138,19
113,Sydney St at Carson St,42.32039374,-71.05355408,19
114,Museum of Science,42.36769018,-71.07116282,19
115,Alewife MBTA at Steel Place,42.39558846,-71.14260614,19
116,Mt Auburn,42.37478629,-71.13320231,19
117,Huron Ave At Vassal Lane,42.38165061,-71.13426981,19
118,Franklin Park - Seaver St at Humboldt Ave,42.309796,-71.092225,15
119,Sidney Research Campus/Erie Street at Waverly,42.35775309,-71.10393405,19
120,Foss Park,42.39108438,-71.09039426,15
121,Kendall T,42.36242784,-71.08495474,23
122,Grove Hall Library - 41 Geneva Ave,42.30791,-71.080952,15
123,Roslindale Village - Washington St,42.28630716,-71.12820532,15
124,Roxbury YMCA - Warren St at MLK Blvd,42.31787329,-71.08243078,10
125,Verizon Innovation Hub 10 Ware Street,42.37250865,-71.11305356,19
126,Third at Binney,42.36544486,-71.08277142,15
127,Warren St at Chelsea St,42.371848,-71.060292,23
128,Broadway at Lynde St,42.39648358,-71.0654676,15
129,Edwards Playground - Main St at Eden St,42.378965,-71.068607,19
130,One Memorial Drive,42.36161932,-71.08043551,19
131,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,19
132,JFK/UMass T Stop,42.32033974,-71.05118036,15
133,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,15
134,Main St at Austin St,42.375603,-71.064608,11
135,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,19
136,Longwood Ave at Binney St,42.338629,-71.1065,15
137,B.U. Central - 725 Comm. Ave.,42.350406,-71.108279,11
138,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563,26
139,Brighton Mills - 370 Western Ave,42.36154571,-71.13776207,15
140,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,42.33741748,-71.10286117,25
141,Soldiers Field Park - 111 Western Ave,42.36426344,-71.1182757,15
142,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412,-71.07657015,18
143,Park Dr at Buswell St,42.347241,-71.105301,15
144,Shawmut T Stop,42.292917,-71.06575,19
145,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,23
146,Broadway at Beacham St,42.3983606,-71.06373843,15
147,State Street at Channel Center,42.344137,-71.052608,19
148,Ink Block - Harrison Ave at Herald St,42.345901,-71.063187,27
149,Chelsea St at Vine St,42.40328057,-71.0476264,15
150,Seaport Blvd at Sleeper St,42.35317809,-71.04817357,15
151,S Huntington Ave at Heath St,42.32760387,-71.1108917,15
152,Lansdowne T Stop,42.34734473,-71.10016808,27
153,Broadway at Maple St,42.41034691,-71.05260458,13
154,Community Path at Cedar Street,42.39407224,-71.11133695,15
155,Williams St at Washington St,42.306539,-71.107669,23
156,Broadway at Central St,42.3951715,-71.09850592,19
157,East Somerville Library (Broadway and Illinois),42.38762811,-71.08318716,15
158,Assembly Square T,42.39223284,-71.07746601,15
159,Shawmut Ave at Oak St W,42.34854543,-71.06559185,15
160,Four Corners - 157 Washington St,42.30412793,-71.07929528,11
161,Fresh Pond Reservation,42.38267828,-71.14347895,17
162,Main St at Baldwin St,42.380857,-71.070629,19
163,Stuart St at Charles St,42.351146,-71.066289,15
164,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.34366582,-71.08582377,19
165,Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.123831,27
166,Main St at Thompson Sq,42.37487847,-71.06383499,15
167,Commonwealth Ave at Agganis Way,42.35169202,-71.11903489,15
168,Grove St at Community Path,42.39638681,-71.12011306,15
169,Murphy Skating Rink - 1880 Day Blvd,42.336448,-71.023739,19
170,Washington St at Melnea Cass Blvd,42.332817,-71.081198,19
171,Rindge Avenue - O'Neill Library,42.392766,-71.129042,19
172,Alewife Station at Russell Field,42.396105,-71.139459,23
173,EF - North Point Park,42.369885,-71.069957,23
174,Danehy Park,42.388966,-71.132788,17
175,Kendall Street,42.36356016,-71.08216792,17
176,Oak Square - 615 Washington St,42.35057,-71.166491,15
177,175 N Harvard St,42.363796,-71.129164,18
178,Somerville City Hall,42.386844,-71.09812,19
179,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,17
180,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,15
181,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,19
182,One Broadway / Kendall Sq at Main St / 3rd St,42.36224179,-71.08311072,23
183,Harvard Kennedy School at Bennett St / Eliot St,42.3722168,-71.12188071,23
184,Stony Brook T Stop,42.316966,-71.104374,19
185,Mass Ave T Station,42.34135616,-71.08336953,14
186,Charlestown Navy Yard,42.37412455,-71.054812,23
187,Bennington St at Constitution Beach,42.38522394,-71.01063069,17
188,Mattapan Library,42.2773889,-71.09325,15
189,Codman Square Library,42.2873611,-71.071111,17
190,One Brigham Circle,42.3339227,-71.10446509,15
191,Medford St at Charlestown BCYF,42.38042947,-71.06055722,19
192,Cross St at Hanover St,42.362811,-71.056067,19
193,Dudley Square - Bolling Building,42.32984299,-71.08386572,18
194,W Broadway at Dorchester St,42.33595898,-71.046229,17
195,Kennedy-Longfellow School 158 Spring St,42.36955298,-71.08579015,19
196,Discovery Park - 30 Acorn Park Drive,42.39790817,-71.14797131,23
197,Edgerly Education Center,42.38717463,-71.08714389,15
198,Stuart St at Berkeley St,42.34954403,-71.07242074,17
199,Congress St at Boston City Hall,42.36041775,-71.05752244,23
200,Central Square East Boston,42.37544913,-71.03918549,15
201,American Legion Hwy at Cummins Hwy,42.27881158,-71.11687703,15
202,Surface Rd at Summer St,42.3529457,-71.05656401,26
203,The Dimock Center,42.31930943,-71.09639924,16
204,Jamaica St at South St,42.30604563,-71.11570891,19
205,Centre St at W. Roxbury Post Office,42.28633199,-71.15344755,19
206,Centre St at Parkway YMCA,42.28277901,-71.15728851,19
207,Spring St at Powell St,42.27748444,-71.16341468,19
208,Berkshire Street at Cambridge Street,42.37207658,-71.08995434,19
209,University of Massachusetts Boston - Campus Center,42.31218918,-71.03648586,19
210,Maverick St at Massport Path,42.36774122,-71.03335975,15
211,Boston Landing,42.35656092,-71.14167538,17
212,Sullivan Square,42.38445226,-71.07514855,19
213,Whittier St Health Center,42.33286288,-71.09218862,19
214,Hyde Park Ave at Walk Hill St,42.29606705,-71.116012,15
215,Charles Circle - Charles St at Cambridge St,42.36079297,-71.07118962,19
216,700 Commonwealth Ave.,42.34960945,-71.10391524,16
217,Geiger Gibson Community Health Center,42.31886468,-71.04536798,19
218,Wilson Square,42.38567579,-71.11412136,15
219,Glendale Square (Ferry St at Broadway),42.41427294,-71.04479656,15
220,Brookline Village - Station Street at MBTA,42.33274392,-71.11626681,18
221,Columbus Ave at W. Canton St,42.34474225,-71.07648162,19
222,Washington St at Waltham St,42.34157472,-71.0689044,15
