Name,Bike Station Id,Category
Cafe Gigu,2,"['Lounge', 'Café', 'Latin American Restaurant']"
Latinos Restaurant,2,"['Latin American Restaurant', 'Mexican Restaurant']"
Mehak Halal - Pakistani & Indian Cuisine,2,"['Halal Restaurant', 'Indian Restaurant', 'Pakistani Restaurant']"
The Quiet Few,2,"['Cocktail Bar', 'Whisky Bar', 'Burger Joint']"
ReelHouse,2,"['American Restaurant', 'Seafood Restaurant']"
Pazza On Porter,2,"['Cocktail Bar', 'Lounge', 'Italian Restaurant']"
La Hacienda,2,"['Latin American Restaurant', 'Mexican Restaurant']"
Santarpio's Pizza,2,['Pizzeria']
El Jardin,2,"['Bakery', 'Colombian Restaurant', 'Mexican Restaurant']"
Tori Japan,2,['Japanese Restaurant']
Wingstop,2,['Fast Food Restaurant']
McDonald's,2,"['Burger Joint', 'Fast Food Restaurant']"
Pollo Campero,2,['Fast Food Restaurant']
Oliveiras Steak House,2,"['Brazilian Restaurant', 'Steakhouse']"
Logan International Airport Bar & Grill,2,['Restaurant']
Casa Colombia,2,"['Bakery', 'Café', 'Colombian Restaurant']"
El Paisa Restaurante,2,['Restaurant']
Pizza Shuttle,2,['Pizzeria']
Harbor Pacific,2,"['Chinese Restaurant', 'Seafood Restaurant']"
El Penol,2,"['Latin American Restaurant', 'Peruvian Restaurant']"
Pollos A La Brasa Betos,2,"['Latin American Restaurant', 'Mexican Restaurant', 'Peruvian Restaurant']"
La Casa Del Pandebono,2,['Salvadoran Restaurant']
East Boston House Of Pizza,2,['Pizzeria']
Cafe Meridian,2,"['Café', 'Restaurant']"
Sea Biscuit,2,"['Bakery', 'Sandwich Restaurant']"
Via Veneto Restaurant,2,['Italian Restaurant']
Roy's Cold Cuts,2,"['Deli', 'Fast Food Restaurant', 'Sandwich Restaurant']"
La Reina Cafeteria,2,['Restaurant']
Cafeteria La Reina,2,['Mexican Restaurant']
Los Pinos Mexican Restaurant & Grill,2,['Mexican Restaurant']
Pueblo Viejo Mexican Grill,2,"['Bar', 'Latin American Restaurant', 'Mexican Restaurant']"
Kelly's Pub,3,"['Bar', 'Restaurant']"
Brinkleys Restaurant & Pub,3,"['Bar', 'American Restaurant']"
Royal Roast Beef & Seafood,3,"['American Restaurant', 'Fast Food Restaurant', 'Seafood Restaurant']"
Burger King,3,"['Burger Joint', 'Fast Food Restaurant']"
Subway,3,"['Deli', 'Fast Food Restaurant']"
Lanzilli Grocery,3,['Deli']
Luna's Italian & Latin Cuisine,3,"['Bar', 'Italian Restaurant', 'South American Restaurant']"
Great Chef Chinese Food Orient,3,['Chinese Restaurant']
Tequilas Mexican Bar & Grill,3,"['Bar', 'Mexican Restaurant']"
Mi Pueblito Orient Heights,3,"['Asian Restaurant', 'Mexican Restaurant']"
New Saigon Restaurant,3,['Vietnamese Restaurant']
Tempo,3,['Seafood Restaurant']
El Kiosco,3,"['Pizzeria', 'Latin American Restaurant', 'Mexican Restaurant']"
Kiosco Sabor De MI Tierra-Bar,3,"['Bar', 'Mexican Restaurant']"
La Fonda Colombiana,3,"['Bar', 'Restaurant']"
Little Asia,3,"['Asian Restaurant', 'Cantonese Restaurant']"
Little Asia Restaurant,3,['Restaurant']
Channel Fish Co.,3,"['Fish and Chips Shop', 'Seafood Restaurant']"
Cafe Orient Heights,3,"['Asian Restaurant', 'Japanese Restaurant', 'Korean Restaurant']"
Donna's Restaurant,3,['American Restaurant']
Sunny Cafe,3,['Sushi Restaurant']
E. Umi Sushi,3,['Sushi Restaurant']
Renegade's Pub,3,"['Cocktail Bar', 'Pub', 'Burger Joint']"
El Paisa Butchery,3,"['Deli', 'Meat and Seafood Store']"
El Paisa Orient Heights,3,"['Latin American Restaurant', 'Mexican Restaurant']"
Angela's Cafe Orient Heights,3,['Mexican Restaurant']
Woody S Pizza,3,['Pizzeria']
Mama Blanca Restaurant,3,"['Mexican Restaurant', 'Salvadoran Restaurant', 'Spanish Restaurant']"
Frio Rico,3,"['Ice Cream Parlor', 'Latin American Restaurant', 'Peruvian Restaurant']"
Millie's Kitchen,3,"['Italian Restaurant', 'Kebab Restaurant']"
Melodias Restaurant,3,['Colombian Restaurant']
Taverena Medallo,3,"['Bar', 'BBQ Joint']"
Cucchiello's Bakery,3,"['Bakery', 'Restaurant']"
Elite Restaurant,3,['Diner']
Rincón Limeño Restaurant,3,"['Latin American Restaurant', 'Mexican Restaurant', 'Peruvian Restaurant']"
Perros Paisas,3,"['Hot Dog Joint', 'American Restaurant', 'Fast Food Restaurant']"
Melo's Cafe,3,"['Bakery', 'Coffee Shop', 'Restaurant']"
Dacoopa Subs & Pizza,3,['Restaurant']
Pollos A La Brasa El Chalan,3,"['Latin American Restaurant', 'Mexican Restaurant', 'Peruvian Restaurant']"
DaCoopas Pizza,3,['Pizzeria']
McDonald's,4,"['Burger Joint', 'Fast Food Restaurant']"
Tori Japan,4,['Japanese Restaurant']
Wingstop,4,['Fast Food Restaurant']
Cafe Gigu,4,"['Lounge', 'Café', 'Latin American Restaurant']"
Pollo Campero,4,['Fast Food Restaurant']
La Hacienda,4,"['Latin American Restaurant', 'Mexican Restaurant']"
Dirty Water Dough,4,"['Pizzeria', 'Salad Restaurant', 'Sandwich Restaurant']"
La Abundansia,4,"['Bakery', 'Colombian Restaurant']"
Dough East Boston,4,['Pizzeria']
El Jardin,4,"['Bakery', 'Colombian Restaurant', 'Mexican Restaurant']"
Eagle Hill Cafe,4,['Restaurant']
Mi Rancho Restaurant,4,"['Colombian Restaurant', 'Latin American Restaurant', 'Mexican Restaurant']"
Ledan,4,['Restaurant']
Oliveiras Steak House,4,"['Brazilian Restaurant', 'Steakhouse']"
El Paisa Restaurante,4,['Restaurant']
Italian American,4,"['Arts and Entertainment', 'Bar', 'Italian Restaurant']"
