Station Name,Latitude,Longitude,Number of Bikes,Station ID,Number of Restaurants,Number of Rentals,Average Restaurant Rating,Average Rental Rating
Honan Library,42.36027370454934,-71.12852452327388,15,42d9b34dcbd877dfa9d702d0e0adedba,60,12,4.21875,1.9583333333333333
NCAAA - Walnut Ave at Crawford St,42.316902,-71.091946,15,e1eb05d342c7993b9628a687211b04ea,37,4,3.9,2.0
84 Cambridgepark Dr,42.3936,-71.143941,27,53955e5aa599eabd42cfd5b338a1c85d,32,4,3.3333333333333335,2.0
Ames St at Broadway,42.3636929,-71.0875672,18,4cb75fa70b40661ab02c9c9f8fae60bc,58,8,4.0588235294117645,2.0
MIT Vassar St,42.35560121327927,-71.10394477844238,53,943a5046e94d9462496182d9e38da371,58,6,4.125,2.0
Broadway St at Mt Pleasant St,42.38614141163957,-71.07828140258789,19,7834292992b37578067b345232346bad,55,3,4.03125,2.0
MLK Blvd at Washington St,42.32143814183195,-71.09126061201096,15,3ef6b015b6284b4731db6b9e02a3d1cb,36,6,4.0,2.0
MIT Pacific St at Purrington St,42.35957320109044,-71.10129475593567,19,0e29fe31b281f3b6ca6f7c06c8eb7aa4,59,7,4.0,2.4285714285714284
Brookline Town Hall,42.33376472623494,-71.12046446660315,15,171d66dfe7c34a2348eb9514d653fb1a,56,7,4.0625,2.0
Purchase St at Pearl St,42.354659,-71.053181,19,4d51f6d4dc4b79326311d888ba73a86d,61,18,4.0588235294117645,2.0277777777777777
Porter Square Station,42.387995,-71.119084,19,272d2ed6d42ae8921f98b33d030519b6,62,9,4.222222222222222,2.111111111111111
Binney St / Sixth St,42.36608797388682,-71.08633603909765,19,608850557a2775d6ba499dbd1c765810,58,9,4.0625,2.0
Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,19,d0d13765d45b5bdf356acd9b859b7b99,61,11,4.088235294117647,2.0454545454545454
Packard Ave at Powderhouse Blvd,42.40449,-71.123413,15,f011b03ae269733cd81eb2058feeafe6,58,5,4.107142857142857,1.8
Harvard University Gund Hall at Quincy St / Kirkland St,42.376369,-71.114025,15,c3a13f2adb7762587acf15eec38bd91f,65,13,4.0625,2.0384615384615383
Bowdoin St at Quincy St,42.30785224238503,-71.06512248516083,15,aa2cadce93985cabcc8c1701a5c8be20,65,5,3.95,2.0
MIT Stata Center at Vassar St / Main St,42.3621312344991,-71.09115600585936,35,d14fddb02c64c81c4c9febd44968d294,56,10,3.888888888888889,2.3
Chinatown T Stop,42.352409,-71.062679,19,a35b80134814b7fd4592404b8ddb2a24,63,19,4.0,2.0789473684210527
