ID,Station Name,Latitude,Longitude,Number of Bikes
93,Mattapan T Stop,42.267902,-71.093641,15
94,Lesley University,42.38674802045056,-71.11901879310608,15
95,30 Dane St,42.38100143038052,-71.10402522613185,15
96,699 Mt Auburn St,42.37500235137831,-71.14871613699506,24
97,Harvard Ave at Brainerd Rd,42.34953016890375,-71.13022770741735,15
98,Gallivan Blvd at Adams St,42.28297567840305,-71.05466698296368,15
99,Dorchester Ave at Gillette Park,42.34404051001636,-71.05737626552582,15
100,Boston Convention and Exhibition Center - Summer St at West Side Dr,42.347763454147454,-71.0453599691391,22
101,Commonwealth Ave at Griggs St,42.34922469338298,-71.13275302578586,15
102,MIT at Mass Ave / Amherst St,42.3581,-71.093198,27
103,Central Square at Mass Ave / Essex St,42.36507,-71.1031,19
104,Brighton Center - Washington St at Cambridge St,42.34894857235593,-71.15027189254761,17
105,Washington St at Brock St,42.3489528466951,-71.16031676530838,15
106,Savin Hill T Stop - S Sydney St at Bay St,42.3106,-71.0539,14
107,University Park,42.36264779118595,-71.10006093978882,19
108,Bunker Hill Community College,42.37408991426522,-71.06905996799469,23
109,Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,42.303469,-71.085347,14
110,Columbia Rd at Ceylon St,42.309572,-71.0729,15
111,Troy Boston,42.343749,-71.062256,14
112,Park Plaza at Charles St S.,42.35182806892068,-71.06781138111728,19
113,Sydney St at Carson St,42.32039374304257,-71.05355408051764,19
114,Museum of Science,42.36769018024484,-71.07116281986237,19
115,Alewife MBTA at Steel Place,42.39558845716709,-71.14260613918304,19
116,Mt Auburn,42.37478628706384,-71.13320231437683,19
117,Huron Ave At Vassal Lane,42.381650612901176,-71.13426981498378,19
118,Franklin Park - Seaver St at Humboldt Ave,42.309796,-71.092225,15
119,Sidney Research Campus/Erie Street at Waverly,42.35775309465199,-71.10393404960632,19
120,Foss Park,42.39108438146733,-71.09039425849915,15
121,Kendall T,42.3624278429124,-71.08495473861694,23
122,Grove Hall Library - 41 Geneva Ave,42.30791,-71.080952,15
123,Roslindale Village - Washington St,42.28630716010807,-71.12820532182013,15
