Name,Bike Station Id,Category
Budget Rent A Car,13,['Rental Car Location']
Budget Car Rental,13,['Rental Car Location']
Zipcar Mass Eye and Ear,13,['Rental Car Location']
Alamo,13,['Rental Car Location']
Select Car Rental,13,['Rental Car Location']
Zipcar Post Office Sq,14,['Rental Car Location']
Zipcar PI Alley Garage,14,['Rental Car Location']
Budget Rent A Car,14,['Rental Car Location']
Zipcar,14,['Rental Car Location']
Zipcar Mass Eye and Ear,14,['Rental Car Location']
Avis Rent A Car,14,['Rental Car Location']
Budget Car Rental,14,['Rental Car Location']
Eoc,14,['Rental Car Location']
Alamo,14,['Rental Car Location']
Zipcar Government Center Garage,14,['Rental Car Location']
Enterprise Rent-A-Car,14,['Rental Car Location']
Alamo Rent A Car,14,['Rental Car Location']
National Car Rental,14,['Rental Car Location']
Enterprise,14,['Rental Car Location']
Car Trawler,14,['Rental Car Location']
Zipcar Boston Harbor Garage,14,['Rental Car Location']
Rent A Geek,14,['Rental Car Location']
Dollar Rent A Car,14,['Rental Car Location']
Boston Car Rental-1stCar,14,['Rental Car Location']
Zipcar Archstone Boston Common,14,['Rental Car Location']
Zipcar,15,['Rental Car Location']
Zipcar Park Dr/Jersey,15,['Rental Car Location']
Zipcar Queensberry St/Park Dr,15,['Rental Car Location']
Zipcar Tremont/Burney St,15,['Rental Car Location']
Zipcar Children's Hospital Boston,15,['Rental Car Location']
Zipcar Gainsborough St,15,['Rental Car Location']
Zipcar West Broadway/F St,16,['Rental Car Location']
Ryder Truck Rental,16,['Rental Car Location']
Enterprise,16,['Rental Car Location']
Enterprise Rent-A-Car,16,['Rental Car Location']
Alamo,16,['Rental Car Location']
Zipcar,16,['Rental Car Location']
Zipcar Comm Ave/Strathmore,17,['Rental Car Location']
Zipcar,17,['Rental Car Location']
Zipcar Cleveland Circle T,17,['Rental Car Location']
SBS Wireless,17,['Rental Car Location']
Zipcar Newbury College,17,['Rental Car Location']
Zipcar Dighton St,17,['Rental Car Location']
Alamo,17,['Rental Car Location']
Zipcar Washington St/Corey Rd,17,['Rental Car Location']
Zipcar Kendall Cinema,18,['Rental Car Location']
U-Haul Moving & Storage,18,"['Equipment Rental Service', 'Storage Facility', 'Rental Car Location']"
Budget Rent A Car,18,['Rental Car Location']
Avis Rent A Car,18,['Rental Car Location']
Zipcar,18,['Rental Car Location']
Zipcar Cambridge Center East,18,['Rental Car Location']
Zipcar Cambridge St/Columbia St,18,['Rental Car Location']
RelayRides,18,['Rental Car Location']
Alamo,18,['Rental Car Location']
Enterprise Rent-A-Car,18,['Rental Car Location']
Zipcar Cleveland Circle T,19,['Rental Car Location']
Zipcar Newbury College,19,['Rental Car Location']
Zipcar Comm Ave/Strathmore,19,['Rental Car Location']
Zipcar,19,['Rental Car Location']
SBS Wireless,19,['Rental Car Location']
Enterprise Rent-A-Car,20,['Rental Car Location']
Alamo,20,['Rental Car Location']
Zipcar,21,['Rental Car Location']
Avis Rent A Car,21,['Rental Car Location']
Budget Car Rental,21,['Rental Car Location']
Zipcar 100 Clarendon Garage,21,['Rental Car Location']
Zipcar 500 Harrison,21,['Rental Car Location']
Enterprise Rent-A-Car,21,['Rental Car Location']
Alamo,21,['Rental Car Location']
National Car Rental,21,['Rental Car Location']
Zipcar Park Sq/Motor Mart Garage,21,['Rental Car Location']
Dollar Car Rental,21,['Rental Car Location']
Thrifty Car Rental,21,['Rental Car Location']
Hertz Rent A Car,21,['Rental Car Location']
Dollar Rent A Car,21,['Rental Car Location']
Zipcar Exeter St/Prudential Center Garage,21,['Rental Car Location']
Zipcar Archstone Boston Common,21,['Rental Car Location']
Zipcar Worcester St/Shawmut Ave,21,['Rental Car Location']
Finesse Autos,21,['Rental Car Location']
Zipcar Park Dr/Jersey,22,['Rental Car Location']
United Site Services,22,['Rental Car Location']
Zipcar Queensberry St/Park Dr,22,['Rental Car Location']
Zipcar 17 Bay State Rd,22,['Rental Car Location']
Zipcar,22,['Rental Car Location']
Zipcar Gainsborough St,22,['Rental Car Location']
Zipcar St Marys/Monmouth,22,['Rental Car Location']
U-Haul Neighborhood Dealer,23,"['Equipment Rental Service', 'Storage Facility', 'Rental Car Location']"
Zipcar 541 Cambridge St,23,['Rental Car Location']
Zipcar 20 Radcliffe Rd,23,['Rental Car Location']
Landbird,23,['Rental Car Location']
Bestway Auto Rental,23,['Rental Car Location']
Adventure Vehicle Rental,23,['Rental Car Location']
U-Save Car & Truck Rental,23,['Rental Car Location']
Zipcar Comm Ave/Gordon St,23,['Rental Car Location']
Avis Rent A Car,23,['Rental Car Location']
Budget Rent A Car,23,['Rental Car Location']
Budget Truck Rental,23,['Rental Car Location']
Zipcar Chester St,23,['Rental Car Location']
Zipcar 140 North Beacon St,23,['Rental Car Location']
Zipcar,23,['Rental Car Location']
Zipcar Brainerd Rd/Fiske Terrace,23,['Rental Car Location']
CNG Car Rental South Boston,24,['Rental Car Location']
Budget Car Rental,24,['Rental Car Location']
Avis Rent A Car,24,['Rental Car Location']
Ryder Truck Rental,24,['Rental Car Location']
Zipcar,24,['Rental Car Location']
Select Car Rental,24,['Rental Car Location']
Zipcar West Broadway/F St,24,['Rental Car Location']
U-Haul Neighborhood Dealer,25,"['Equipment Rental Service', 'Storage Facility', 'Rental Car Location']"
U-Haul,26,"['Equipment Rental Service', 'Storage Facility', 'Rental Car Location']"
U-Haul Neighborhood Dealer,26,"['Equipment Rental Service', 'Storage Facility', 'Rental Car Location']"
Zipcar,26,['Rental Car Location']
Zipcar,27,['Rental Car Location']
Zipcar West Broadway/F St,27,['Rental Car Location']
Ryder Truck Rental,27,['Rental Car Location']
Zipcar Third Square Apartments,28,['Rental Car Location']
Zipcar Kendall Sq/Genzyme,28,['Rental Car Location']
Zipcar Cambridgeside Galleria,28,['Rental Car Location']
Zipcar,28,['Rental Car Location']
Enterprise Rent-A-Car,28,['Rental Car Location']
Alamo,28,['Rental Car Location']
Zipcar Cambridge Center East,28,['Rental Car Location']
Zipcar Archstone NorthPoint,28,['Rental Car Location']
Zipcar Kendall Cinema,28,['Rental Car Location']
Zipcar,29,['Rental Car Location']
Zipcar Children's Hospital Boston,29,['Rental Car Location']
Zipcar Tremont/Burney St,29,['Rental Car Location']
Zipcar Queensberry St/Park Dr,29,['Rental Car Location']
Zipcar Park Dr/Jersey,29,['Rental Car Location']
Enterprise,30,['Rental Car Location']
Zipcar,30,['Rental Car Location']
Zipcar,31,['Rental Car Location']
Boston Luxury Rental Cars,31,['Rental Car Location']
U-Haul Neighborhood Dealer,31,"['Equipment Rental Service', 'Storage Facility', 'Rental Car Location']"
Jackson Square Station,31,['Rental Car Location']
Budget Truck Rental,32,['Rental Car Location']
Boston Luxury Rental Cars,32,['Rental Car Location']
U-Haul Neighborhood Dealer,32,"['Equipment Rental Service', 'Storage Facility', 'Rental Car Location']"
Jackson Square Station,32,['Rental Car Location']
Zipcar Elmwood St/Bike Path,33,['Rental Car Location']
Zipcar Davis Sq/Holland St,33,['Rental Car Location']
Zipcar Davis Sq/Elm St,33,['Rental Car Location']
Zipcar Victoria St/Broadway,33,['Rental Car Location']
Zipcar East Arlington,33,['Rental Car Location']
Zipcar Davis Sq/Rite Aid,33,['Rental Car Location']
Avis Rent A Car,34,['Rental Car Location']
Zipcar Archstone Boston Common,34,['Rental Car Location']
Zipcar,34,['Rental Car Location']
Alamo,34,['Rental Car Location']
Enterprise Rent-A-Car,34,['Rental Car Location']
National Car Rental,34,['Rental Car Location']
Hertz Rent A Car,34,['Rental Car Location']
Thrifty Car Rental,34,['Rental Car Location']
Zipcar Park Sq/Motor Mart Garage,34,['Rental Car Location']
Dollar Car Rental,34,['Rental Car Location']
Boston Car Rental-1stCar,34,['Rental Car Location']
Zipcar 500 Harrison,34,['Rental Car Location']
Zipcar PI Alley Garage,34,['Rental Car Location']
Budget Car Rental,34,['Rental Car Location']
Zipcar Mass Eye and Ear,34,['Rental Car Location']
Zipcar,35,['Rental Car Location']
Zipcar Archstone Boston Common,35,['Rental Car Location']
Avis Rent A Car,35,['Rental Car Location']
Boston Car Rental-1stCar,35,['Rental Car Location']
Enterprise Rent-A-Car,35,['Rental Car Location']
Alamo,35,['Rental Car Location']
National Car Rental,35,['Rental Car Location']
Eoc,35,['Rental Car Location']
Hertz Rent A Car,35,['Rental Car Location']
Thrifty Car Rental,35,['Rental Car Location']
Zipcar PI Alley Garage,35,['Rental Car Location']
Car Trawler,35,['Rental Car Location']
Zipcar Post Office Sq,35,['Rental Car Location']
Zipcar Park Sq/Motor Mart Garage,35,['Rental Car Location']
Dollar Car Rental,35,['Rental Car Location']
Budget Car Rental,35,['Rental Car Location']
Zipcar Mass Eye and Ear,35,['Rental Car Location']
Zipcar,36,['Rental Car Location']
Zipcar Park Sq/Motor Mart Garage,36,['Rental Car Location']
Dollar Car Rental,36,['Rental Car Location']
Thrifty Car Rental,36,['Rental Car Location']
Hertz Rent A Car,36,['Rental Car Location']
Avis Rent A Car,36,['Rental Car Location']
National Car Rental,36,['Rental Car Location']
Enterprise Rent-A-Car,36,['Rental Car Location']
Alamo,36,['Rental Car Location']
Rent A Geek,36,['Rental Car Location']
Dollar Rent A Car,36,['Rental Car Location']
Zipcar 100 Clarendon Garage,36,['Rental Car Location']
Budget Car Rental,36,['Rental Car Location']
Zipcar Exeter St/Prudential Center Garage,36,['Rental Car Location']
Zipcar Archstone Boston Common,36,['Rental Car Location']
Zipcar Mass Eye and Ear,36,['Rental Car Location']
Zipcar,37,['Rental Car Location']
Zipcar Archstone Boston Common,37,['Rental Car Location']
Rent A Geek,37,['Rental Car Location']
Avis Rent A Car,37,['Rental Car Location']
Budget Car Rental,37,['Rental Car Location']
Zipcar PI Alley Garage,37,['Rental Car Location']
Hertz Rent A Car,37,['Rental Car Location']
Zipcar Post Office Sq,37,['Rental Car Location']
Thrifty Car Rental,37,['Rental Car Location']
Zipcar Mass Eye and Ear,37,['Rental Car Location']
National Car Rental,37,['Rental Car Location']
Alamo,37,['Rental Car Location']
Enterprise Rent-A-Car,37,['Rental Car Location']
Zipcar Park Sq/Motor Mart Garage,37,['Rental Car Location']
Dollar Car Rental,37,['Rental Car Location']
Eoc,37,['Rental Car Location']
Budget Rent A Car,37,['Rental Car Location']
Dollar Rent A Car,37,['Rental Car Location']
Boston Car Rental-1stCar,37,['Rental Car Location']
Zipcar Government Center Garage,37,['Rental Car Location']
Car Trawler,37,['Rental Car Location']
Alamo Rent A Car,37,['Rental Car Location']
Enterprise,37,['Rental Car Location']
Zipcar,38,['Rental Car Location']
Zipcar Worcester St/Shawmut Ave,38,['Rental Car Location']
Enterprise Rent-A-Car,38,['Rental Car Location']
Alamo,38,['Rental Car Location']
Hertz Equipment Rental,38,['Rental Car Location']
Budget Rent A Car,38,['Rental Car Location']
U-Haul Neighborhood Dealer,38,"['Equipment Rental Service', 'Storage Facility', 'Rental Car Location']"
Zipcar,39,['Rental Car Location']
Zipcar Worcester St/Shawmut Ave,39,['Rental Car Location']
Avis Rent A Car,39,['Rental Car Location']
Dollar Rent A Car,39,['Rental Car Location']
Budget Car Rental,39,['Rental Car Location']
Zipcar 100 Clarendon Garage,39,['Rental Car Location']
Zipcar 500 Harrison,39,['Rental Car Location']
Zipcar Huntington Ave/Cumberland,39,['Rental Car Location']
Hertz Rent A Car,39,['Rental Car Location']
Zipcar Exeter St/Prudential Center Garage,39,['Rental Car Location']
Zipcar Belvidere St/Prudential Center Garage,39,['Rental Car Location']
Finesse Autos,39,['Rental Car Location']
Enterprise Rent-A-Car,39,['Rental Car Location']
Alamo,39,['Rental Car Location']
Zipcar Prudential,39,['Rental Car Location']
Hertz Sheraton Boston Hotel,39,['Rental Car Location']
Enterprise CarShare,39,['Rental Car Location']
National Car Rental,39,['Rental Car Location']
Zipcar,40,['Rental Car Location']
Hertz Rent A Car,40,['Rental Car Location']
Zipcar Broadway/Ellery,40,['Rental Car Location']
Enterprise Rent-A-Car,40,['Rental Car Location']
