Station Name,Latitude,Longitude,Number of Bikes,Station ID
Packard Ave at Powderhouse Blvd,42.40449,-71.123413,15,f011b03ae269733cd81eb2058feeafe6
Harvard University Gund Hall at Quincy St / Kirkland St,42.376369,-71.114025,15,c3a13f2adb7762587acf15eec38bd91f
Bowdoin St at Quincy St,42.30785224238503,-71.06512248516083,15,aa2cadce93985cabcc8c1701a5c8be20
MIT Stata Center at Vassar St / Main St,42.3621312344991,-71.09115600585936,35,d14fddb02c64c81c4c9febd44968d294
Chinatown T Stop,42.352409,-71.062679,19,a35b80134814b7fd4592404b8ddb2a24
Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,15,e7bf3cb1dd05da389680f35f83927905
Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927,19,6914c1962c64ca2a1c5f7bba047d9788
Commonwealth Ave At Babcock St,42.35154734791375,-71.12126246094704,15,e00981ae2721bdc7339d4ee00759f650
Colleges of the Fenway - Fenway at Avenue Louis Pasteur,42.34011512249236,-71.10061883926392,14,c039b478f4cd30b69758596ddcfd5cf5
Forest Hills,42.300923,-71.114249,40,f52e535ba7fd2385a733863f695c9bda
Columbia Rd at Tierney Community Center,42.33023070528729,-71.05060093123029,19,65ee88e1ea2b01d7775f2391eb81252a
Harrison Ave at Mullins Way,42.34521562115022,-71.0638403149278,19,8338b27741423582af34a18d4caa047f
Bartlett St at John Elliot Sq,42.3294633,-71.0901582,15,cfc97a94fde7ba82fdc7d86d41fbb4cf
Deerfield St at Commonwealth Ave,42.34924376955301,-71.09728209692548,19,70c72c7cb0115d461f7b3fac84e00f2a
Mass Ave at Albany St,42.36135837662249,-71.09670273977825,18,adb1a2a0b419c7f51c67f19721233a47
700 Huron Ave,42.380788172914286,-71.15412890911102,19,7bf7006cdf4a8afa8ad2b6948413ef6a
Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,17,066efb58cb770f3d708a4f83a11fb374
Albany St at E. Brookline St,42.33664795427071,-71.0689445958451,15,54064f3ff5f1d3c559d1a622464d208f
Sennott Park Broadway at Norfolk Street,42.36860524248197,-71.09930185605663,19,ac4c23b42cd05aa1ac939cfccb4e1340
Powder House Circle - Nathan Tufts Park,42.400877,-71.116772,14,ad43939d620ef225d35eafdb9ef9a29d
